,Global_reactive_power,Voltage,Global_intensity,Day,Month,Hour,Minutes,total_metering
164525,0.348,241.69,2.4,4,9,23,29,2.0
67797,0.0,236.32,12.0,2,1,19,21,17.0
137223,0.312,241.67,6.6,22,3,0,27,19.0
189838,0.0,235.77,1.2,27,4,13,22,0.0
50682,0.0,239.84,4.6,20,1,22,6,1.0
225159,0.188,236.13,1.8,22,5,2,3,2.0
217461,0.0,234.96,5.2,16,5,17,45,17.0
213093,0.104,236.98,5.4,13,5,16,57,17.0
119558,0.112,242.04,1.6,3,9,18,2,0.0
126330,0.12,240.63,1.4,14,3,10,54,0.0
121764,0.054,241.01,9.6,3,11,6,48,0.0
190077,0.11,236.5,2.4,27,4,17,21,0.0
41847,0.328,230.43,16.0,14,1,18,51,17.0
178646,0.178,240.43,11.2,19,4,18,50,37.0
1617,0.388,233.9,16.9,17,12,20,21,18.0
170893,0.112,239.08,1.4,14,4,9,37,0.0
68592,0.094,240.59,5.6,2,2,8,36,19.0
217197,0.226,232.76,11.4,16,5,13,21,34.0
242556,0.052,235.88,1.2,6,3,4,0,0.0
142110,0.164,235.78,10.4,25,3,9,54,0.0
209527,0.0,234.56,4.8,5,11,5,31,17.0
61770,0.064,242.27,6.4,28,1,14,54,19.0
41756,0.33,232.58,16.9,14,1,17,20,45.0
159265,0.084,238.57,7.8,4,6,7,49,17.0
93821,0.084,232.18,16.9,19,2,21,5,45.0
209090,0.116,235.51,3.8,5,10,22,14,0.0
204723,0.418,230.75,16.9,5,7,21,27,37.0
87754,0.0,241.45,1.2,15,2,15,58,0.0
151047,0.082,238.6,15.0,31,3,14,51,45.0
100,0.0,232.78,14.4,16,12,19,4,18.0
4912,0.11,246.59,1.2,20,12,3,16,0.0
70801,0.228,239.89,12.2,2,3,21,25,18.0
171869,0.0,240.01,0.8,15,4,1,53,0.0
169789,0.194,240.44,2.0,13,4,15,13,2.0
212556,0.0,236.7,0.6,13,5,8,0,0.0
161221,0.084,243.15,2.0,4,7,16,25,0.0
27981,0.0,241.98,9.6,1,5,3,45,0.0
220693,0.082,236.49,1.4,18,5,23,37,0.0
151385,0.465,235.56,16.9,31,3,20,29,40.0
61095,0.0,245.69,1.0,28,1,3,39,0.0
13488,0.0,246.2,9.8,26,12,2,12,1.0
141089,0.05,238.11,10.4,24,3,16,53,19.0
29757,0.0,241.27,1.0,1,6,9,21,0.0
154239,0.212,240.94,7.2,4,2,20,3,18.0
235243,0.106,236.29,1.6,29,5,2,7,1.0
34753,0.076,241.91,5.2,1,9,20,37,1.0
70830,0.0,238.12,14.2,2,3,21,54,20.0
147378,0.184,241.96,1.6,29,3,1,42,1.0
83787,0.0,238.66,6.8,2,12,21,51,1.0
124424,0.102,243.17,1.4,13,3,3,8,0.0
